_ID, TimeSt,Country,Province,City,Latitude,Longitude,Closest POI,Distance(Km)
4706125,2017-06-21 10:12:01.887,CA,AB,Calgary,51.11515,-114.08174,POI1 or POI2,3747.4857740198927
4706190,2017-06-21 20:12:01.600,CA,ON,Toronto,43.66843,-79.38,POI1 or POI2,1290.4081321282745
4706221,2017-06-21 05:12:04.340,CA,NB,Upper Kingsclear,45.8648,-66.8342,POI4,289.1429983630355
4706249,2017-06-21 19:12:05.497,CA,ON,Scarborough,43.69767,-79.28659,POI4,1282.3566136260836
4706253,2017-06-21 10:12:05.610,CA,ON,Brampton,43.67999,-79.7273,POI4,1317.2825916240338
4707235,2017-06-21 12:12:09.677,CA,ON,Toronto,43.6498,-79.3907,POI4,1291.723297950791
4707240,2017-06-21 14:12:09.873,CA,BC,North Vancouver,49.316,-123.0576,POI1 or POI2,4414.6966172901875
4707457,2017-06-21 07:12:09.670,CA,ON,Toronto,43.6531,-79.43683,POI1 or POI2,1295.246664729357
4707851,2017-06-21 22:12:09.683,CA,ON,Oshawa,43.88594,-78.85844,POI1 or POI2,1244.2412041090863
4707979,2017-06-21 07:12:08.013,CA,AB,Calgary,51.01968,-114.20034,POI1 or POI2,3757.551362456118
4708048,2017-06-21 01:12:09.600,CA,BC,Surrey,49.141,-122.8569,POI1 or POI2,4406.752398119664
4708266,2017-06-21 03:12:16.770,CA,NL,St. John's,47.56443,-52.72217,POI4,845.6683227429797
4708435,2017-06-21 01:12:15.003,CA,AB,Edmonton,53.5046,-113.453,POI1 or POI2,3666.746069827796
4708635,2017-06-21 20:12:14.950,CA,ON,Ottawa,45.3519,-75.7911,POI3,980.9303619661337
4708715,2017-06-21 13:12:16.660,CA,NS,Halifax,44.6229,-63.6092,POI4,73.15464487743803
4708930,2017-06-21 03:12:16.857,CA,MB,Neepawa,50.226,-99.467,POI1 or POI2,2736.525226293177
4709400,2017-06-21 18:12:22.210,CA,QC,Mont-Royal,45.52361,-73.62673,POI3,811.4923875652969
4709404,2017-06-21 21:12:18.890,CA,AB,Calgary,51.03882,-113.98531,POI1 or POI2,3742.3866420479667
4709547,2017-06-21 08:12:26.283,CA,QC,Trois-Rivières,46.3776,-72.5352,POI3,731.5162100340568
4709779,2017-06-21 18:12:25.850,CA,QC,Montréal,45.51171,-73.62826,POI3,811.6441109445836
4710031,2017-06-21 17:12:25.117,CA,AB,Sherwood Park,53.55079,-113.26161,POI1 or POI2,3653.622183497172
4710278,2017-06-21 07:12:27.617,CA,ON,Courtice,43.872,-78.75,POI1 or POI2,1236.0876899783905
4710398,2017-06-21 19:12:30.203,CA,ON,Ottawa,45.4129,-75.7078,POI3,974.0341457285998
4710724,2017-06-21 22:12:30.313,CA,ON,Peterborough,44.2859,-78.3656,POI3,1196.944217881209
4711191,2017-06-21 04:12:30.300,CA,ON,Etobicoke,43.6002,-79.5399,POI3,1304.6803428852902
4711356,2017-06-21 00:12:33.033,CA,AB,Sherwood Park,53.5398,-113.283,POI1 or POI2,3655.1568324085165
4711595,2017-06-21 11:12:33.023,CA,ON,Burlington,43.32064,-79.8263,POI1 or POI2,1334.7121721816234
4711684,2017-06-21 09:12:33.520,CA,ON,Toronto,43.6531,-79.4847,POI1 or POI2,1298.9911514598862
4711845,2017-06-21 22:12:30.300,CA,QC,Trois-Rivières,46.3627,-72.6239,POI3,738.082299350748
4711993,2017-06-21 19:12:30.427,CA,QC,Montreal,45.59353,-73.59217,POI3,808.6569287162226
4712414,2017-06-21 00:12:30.307,CA,ON,Toronto,43.6604,-79.36318,POI3,1289.2982184543398
